,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,Fecha de Verificacion,Número de PERMISO otorgado por la CRE,Número de Estacion,Razón Social,ESTADO,MUNCIPIO,TOTAL DE INSTUMENTOS (MANGUERAS) VERIFICADOS,TOTAL DE INSTUMENTOS (MANGUERAS) INMOVILIZADOS,CAUSAS DE INMOVILIZACION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dirección,Colonia,Código Postal,
1986,3/30/23,PL/7361/EXP/ES/2015,638,GASOLINERA DIF OAXACA,OAXACA,OAXACA DE JUÁREZ,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CL HEROES DE CHAPULTEPEC N 812,CENTRO,68000,
1987,3/30/23,PL/2025/EXP/ES/2015,12631,GASOLINERAS SUREÑAS. S. DE R. L. DE C. V.,OAXACA,OAXACA DE JUÁREZ,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROLONGACIÓN CLZ. DE LA REPÚBLICA NO.300. 5 SEÑORES,LA CIENEGUITA,68127,
1988,3/29/23,PL/10700/EXP/ES/2015,9761,SERVICIO MINA DE PEÑA. S. A. DE C. V.,COLIMA,VILLA DE ÁLVAREZ,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV.PAROTAS NO.30,CENTRO,28970,
1989,3/29/23,PL/4679/EXP/ES/2015,7388,AUTOSERVICIO COMBUSTIÓN Y LUBRICACIÓN DE COLIMA REJAGAS. S. A. DE C. V.,COLIMA,VILLA DE ÁLVAREZ,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TERCER ANILLO PERIFERICO NO. 465,CRUZ DE COMALA,28979,
1990,3/29/23,PL/2241/EXP/ES/2015,7997,SERVICIOS ESTRELLA DEL SUR. S. A. DE C. V.,COLIMA,VILLA DE ÁLVAREZ,20,8,0,0,0,0.00,0.00,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,TERCER ANILLO PERIFÉRICO NO.101,LOMAS DE LA HIGUERA,28979,
1991,3/30/23,PL/7212/EXP/ES/2015,9905,SERVICIO IXTLAHUACÁN. S. A. DE C. V.,COLIMA,IXTLAHUACÁN,4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRISELDA ALVAREZ NO 14,CENTRO,28700,
1992,3/30/23,PL/1921/EXP/ES/2015,8790,SERVICIOS DIANA. S. A. DE C. V.,COLIMA,VILLA DE ÁLVAREZ,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. NIÑOS HEROES NO. 55. FRACC. VILLA DE ALVÁREZ,RANCHO SANTO,28973,
1993,3/29/23,PL/4481/EXP/ES/2015,8158,COMBUSTIBLES Y LUBRICANTES DE LOS MOCHIS. S. A. DE C. V.,SINALOA,AHOME,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA MOCHIS-AHOME KM 4.2 ,SIN COLONIA,81233,
1994,3/29/23,PL/11434/EXP/ES/2015,5905,SERVICIO ESPIÑEIRO. S. A. DE C. V.,SINALOA,AHOME,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CRT. LOS MOCHIS AHOME NTE. 4184,EJ. MEXICO,81233,
1995,3/29/23,PL/3139/EXP/ES/2015,11738,SERVICIOS MESASECA. S. A. DE C. V.,SINALOA,AHOME,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLVD. CENTENARIO NO. 3503 PTE. SINDICATURA CENTRAL,LOS MOCHIS,81233,
1996,3/30/23,PL/8737/EXP/ES/2015,12503,AUTO SERVICIO LA PIEDRERA. S. A. DE C. V.,SINALOA,AHOME,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLVD. CENTENARIO 2550 PTE.,VICTORIA,81234,
1997,3/30/23,PL/1258/EXP/ES/2015,7890,SERVICIOS DEL VALLE DEL FUERTE. S. A. DE C. V.,SINALOA,AHOME,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLVD. CENTENARIO NO. 2111 PTE. LOS MOCHIS,FRACCIONAMIENTO COLÓN,81230,
1998,3/30/23,PL/7168/EXP/ES/2015,12566,AHOME GASOLINERA. S. A. DE C. V.,SINALOA,AHOME,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLVD. AGUSTINA RAMIREZ PTE. NO.1429,FRAC. SANTA CECILIA,81271,
1999,3/29/23,PL/6409/EXP/ES/2015,6147,CONSORCIO GASOLINERO PLUS. S. A. DE C. V.,GUERRERO,ACAPULCO DE JUÁREZ,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. COSTERA MIGUEL ALEMAN # 379,BARRIO DE LA PINZONA FRACC.LAS PLAYAS,39360,
2000,3/29/23,PL/19075/EXP/ES/2016,12855,GRUPO BG5. S. A. DE C. V.,GUERRERO,ATOYAC DE ÁLVAREZ,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOULEVARD GENERAL JUAN ALVAREZ KM.  2.370,PARAJE EL JAPON,40930,
2001,3/29/23,PL/11296/EXP/ES/2015,5590,SERVICIO QUINTO PATIO. S. A. DE C. V.,GUERRERO,ATOYAC DE ÁLVAREZ,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KM 78+800 CARRT. NAL. ACAPULCO-ZIHUATANEJO,QUINTO PATIO,40933,
2002,3/30/23,PL/1453/EXP/ES/2015,5633,OPERADORA DE ESTACIONES DE SERVICIO ACAPULCO. S. A. DE C. V.,GUERRERO,ACAPULCO DE JUÁREZ,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVENIDA CONSTITUYENTES NO. 1302,BELLA VISTA,39550,
2003,3/30/23,PL/1535/EXP/ES/2015,11731,GASOLINERIA CALENTANA. S. A. DE C. V.,GUERRERO,ACAPULCO DE JUÁREZ,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIE DE LA CUESTA NO. 616,CENTRO,39300,
2004,3/29/23,PL/9050/EXP/ES/2015,2819,VIZA LUAN GASOLINERIA. S. A. DE C. V.,QUERÉTARO,CADEREYTA DE MONTES,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRET. SAN JUAN DEL RIO-XILITLA KM 73+240,VIZARRON,76509,
2005,3/29/23,PL/10369/EXP/ES/2015,8756,PAULINO VAZQUEZ MORAN,QUERÉTARO,CADEREYTA DE MONTES,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA SAN JUAN DEL RIO XILITLA KM.52+450,SIN COLONIA,76500,
2006,3/29/23,PL/21003/EXP/ES/2018,13517,ANTONINO VÁZQUEZ MORÁN,QUERÉTARO,CADEREYTA DE MONTES,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOULEVARD MANUEL GÓMEZ MORÍN NO. 330 PONIENTE,BARRIO LOS LLANITOS,76500,
2007,3/30/23,PL/7583/EXP/ES/2015,12523,SÚPER SERVICIOS MAFHER. S. A. DE C. V.,QUERÉTARO,TEQUISQUIAPAN,14,4,0,0,0,0.00,0.00,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA FEDERAL XILITLA-SAN JUAN DEL RIO KM. 23+243 ,HACIENDA GRANDE,66799,
2008,3/30/23,PL/9162/EXP/ES/2015,9255,GASOLINERIA EL ROSARIO. S. A. DE C. V.,QUERÉTARO,SAN JUAN DEL RÍO,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA SAN JUAN DEL RIO-TEQUISQUIAPAN KM.6.5,S/C,76800,
2009,3/30/23,PL/5517/EXP/ES/2015,11656,ESTACIONES DE SERVICIO. S. A. DE C. V.,QUERÉTARO,TEQUISQUIAPAN,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA ESTATAL 200 NO. 265,HACIENDA GRANDE,76799,
2010,3/29/23,PL/10597/EXP/ES/2015,367,SERVICIOS ESPECIALES. S. A. DE C. V.,CAMPECHE,CAMPECHE,26,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV GOBERNADORES N 534,GUADALUPE,24000,
2011,3/29/23,PL/7825/EXP/ES/2015,369,E. S. G. E. S.. S. A. DE C. V.,CAMPECHE,CAMPECHE,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV MIGUEL ALEMAN  NO. 110,BARRIO DE GUADALUPE,24010,
2012,3/29/23,PL/10593/EXP/ES/2015,7156,GASOLINERA CAMPECHE. S. A. DE C. V.,CAMPECHE,CAMPECHE,24,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV.PEDRO SAINZ DE BARANDA ESQ. AV. DARCENA L. 1.2,15 Y 16  COL. AH-KIN-PECH,24040,
2013,3/30/23,PL/9315/EXP/ES/2015,11142,E. S. G. E. S.. S. A. DE C. V.,CAMPECHE,CAMPECHE,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. GOBERNADORES NO. 341,BARRIO DE SANTA ANA,24050,
2014,3/30/23,PL/10588/EXP/ES/2015,365,GASOLINERA CAMPECHE. S. A. DE C. V.,CAMPECHE,CAMPECHE,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV CIRCUITO BALUARTES X 16 N S/N,SAN ROMAN,24040,
2015,3/30/23,PL/9318/EXP/ES/2015,12412,E. S. G. E. S.. S. A. DE C. V.,CAMPECHE,CAMPECHE,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. CENTRAL NO.33,SANTA ANA,24050,
2016,3/29/23,PL/4107/EXP/ES/2015,9539,CALIXTO GARCÍA CARDONA,ZACATECAS,MAZAPIL,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROLONGACION 5 DE MAYO NO. 2,SC,98230,
2017,3/29/23,PL/6544/EXP/ES/2015,2258,COMERCIALIZADORA DE COMBUSTIBLES LA CRUZ. S. A. DE C. V.,ZACATECAS,CONCEPCIÓN DEL ORO,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA ZACATECAS-SALTILLO #112,SIN COLONIA ,98200,
2018,3/29/23,PL/3948/EXP/ES/2015,5367,SERVICIO ZACATECAS DE CONCEPCIÓN DEL ORO. S. A. DE C. V.,ZACATECAS,CONCEPCIÓN DEL ORO,6,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRET. CONCEPCION DEL ORO KM. 2,SIN COLONIA,98200,
2019,3/30/23,PL/2661/EXP/ES/2015,3000,SERVICIO VILLA DE ARISTA. S. A. DE C. V.,SAN LUIS POTOSI,VILLA DE ARISTA,6,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA ARISTA - MOCTEZUMA KM 1.2 S/N,SIN COLONIA,78940,
2020,3/30/23,PL/2057/EXP/ES/2015,7694,RAYMUNDO GONZÁLEZ PARRA,SAN LUIS POTOSI,SAN LUIS POTOSÍ,6,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANUEL PALAU NO.400,BOCAS,78400,
2021,3/29/23,PL/12844/EXP/ES/2015,9443,SÚPER SERVICIOS CAVAZOS. S. A. DE C. V.,TAMAULIPAS,SAN FERNANDO,4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA VICTORIA - MATAMOROS KM. 146,EJIDO LAS NORIAS,87390,
2022,3/29/23,PL/4362/EXP/ES/2015,6572,GASOLINERA CAMPESTRE. S. A. DE C. V.,TAMAULIPAS,VICTORIA,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOULEVARD ROTARIO NUM. 593 OTE. ESQ. CON AV. TENOCHTITLAN,AMPLIACION LOPEZ MATEOS,87020,
2023,3/30/23,PL/6051/EXP/ES/2015,1294,ANTONIO MARTINEZ MORENO,TAMAULIPAS,XICOTÉNCATL,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CALLE BENITO JUAREZ N 401 SUR,CENTRO,89750,
2024,3/30/23,PL/2739/EXP/ES/2015,10172,GRUPO GASOLINERO TAMPICO. S. A. DE C. V.,TAMAULIPAS,EL MANTE,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANTONIO CASSO NO. 101,CERRO DEL BERNAL,89818,
2025,3/30/23,PL/19081/EXP/ES/2016,12984,SERVICIO LIBRAMIENTO MIRAMAR. S. A. DE C. V.,TAMAULIPAS,GONZÁLEZ,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LIBRAMIENTO MANUEL- GONZALEZ KM 7+300,SIN COLONIA,89700,
2026,3/31/23,PL/1788/EXP/ES/2015,8406,COMBUSTIBLES DE HUAJUAPAN. S. A. DE C. V.,OAXACA,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA INTERNACIONAL A OAXACA NO. 132,AGENCIA DE SANTA TERESA,69000,
2027,3/31/23,PL/1836/EXP/ES/2015,11614,GRUPO EMPRESARIAL 3 MIXTECAS. S. A. DE C. V.,OAXACA,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. VENUSTIANO CARRANZA NO.131,SANTA CRUZ HUAJUAPAN DE LEON,69005,
2028,3/31/23,PL/2359/EXP/ES/2015,9146,GRUPO EMPRESARIAL 3 MIXTECAS. S. A. DE C. V.,OAXACA,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CALLE 2 DE ABRIL NO.65-A,LA MERCED,69006,
2029,3/31/23,PL/9531/EXP/ES/2015,8238,EL PORTIN DE CLAUDIA. S. A. DE C. V.,COLIMA,TECOMÁN,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA COLIMA MANZANILLO KM. 31.000,TECOLAPA,28920,
2030,3/31/23,PL/4435/EXP/ES/2015,11900,MULTISERVICIOS ENTRONQUE PUERTA DE CALERAS MADRID. S. A. DE C. V.,COLIMA,TECOMÁN,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA ESTATAL PUERTA CALERAS MADRID KM 1,TECOMAN CENTRO,28100,
2031,3/31/23,PL/5305/EXP/ES/2015,9133,SÚPER SERVICIOS MORENO. S. A. DE C. V.,COLIMA,TECOMÁN,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUTOPISTA COLIMA-MANZANILLO KM 38,TECOMAN CENTRO,28100,
2032,3/31/23,PL/392/EXP/ES/2015,7819,SERVICIOS DEL VALLE DEL FUERTE. S. A. DE C. V.,SINALOA,AHOME,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLVD. A. ROSALES NO.1890 NORTE,JIQUILPAN,81220,
2033,3/31/23,PL/1658/EXP/ES/2015,12270,SERVICIOS MESASECA. S. A. DE C. V.,SINALOA,AHOME,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOULEVARD EJIDO CHIHUAHUITA NO. 117 SUR FRACCIONAMIENTO VILLA OWEN LOS MOCHIS, ,81257,
2034,3/31/23,PL/2988/EXP/ES/2015,10262,SERVICIOS MESASECA. S. A. DE C. V.,SINALOA,AHOME,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLVD. ZACATECAS NO.1487 NTE.. FRACC. SAN RAFAEL,LOS MOCHIS,81249,
2035,3/31/23,PL/12837/EXP/ES/2015,11329,ESTACIÓN DE SERVICIONACIONES. S. A. DE C. V.,GUERRERO,ACAPULCO DE JUÁREZ,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOULEVARD DE LAS NACIONES #29 ESQ. IGNACIO ZARAGOZA,LA ZANJA O LA POZA,39906,
2036,3/31/23,PL/8699/EXP/ES/2015,4166,SERVICIO MANTARRAYA. S. A. DE C. V.,GUERRERO,ACAPULCO DE JUÁREZ,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLVD. DE LAS NACIONES KM 10.5 LOTE 90,FRACCIONAMIENTO JARDIN PRINCESA,39699,
2037,3/31/23,PL/5985/EXP/ES/2015,8513,GRUPO FORTEMÉXICO. S. A. DE C. V.,GUERRERO,ACAPULCO DE JUÁREZ,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA CAYACO PUERTO MARQUEZ S/N,PUERTO MARQUEZ,39890,
2038,3/31/23,PL/2066/EXP/ES/2015,12255,GRUPO GOCALVI. S. A. DE C. V.,QUERÉTARO,PEDRO ESCOBEDO,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRT. ESTATAL NO.431. EL COLORADO - GALINDO KM. 13 + 561.28,EJIDO LA VENTA,76707,
2039,3/31/23,PL/2480/EXP/ES/2015,11408,ESTACIÓN DE SERVICIO BONANZA. S. A. DE C. V.,QUERÉTARO,PEDRO ESCOBEDO,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVENIDA PANAMERICANA NO. 123,ESTRELLA,76700,
2040,3/31/23,PL/3734/EXP/ES/2015,12277,GRUPO GASOLINERO ALFA. S. A. DE C. V.,QUERÉTARO,PEDRO ESCOBEDO,22,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRET. MEX-QRO RAMAL PASO PEDRO ESCOBEDO KM 4.05,EL SAUZ ALTO,76729,
2041,3/31/23,PL/13588/EXP/ES/2016,12718,HIDROCARBUROS CAMPECHE. S. A. DE C. V.,CAMPECHE,CHAMPOTÓN,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA CHAMPOTON - ESCARCEGA,CHAMPOTON,24400,
2042,3/31/23,PL/9317/EXP/ES/2015,12012,E. S. G. E. S.. S. A. DE C. V.,CAMPECHE,CHAMPOTÓN,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. LUIS DONALDO COLOSIO POR CALLE 17  NÚM 446 Y 448,AVENIDA,24000,
2043,3/31/23,PL/7841/EXP/ES/2015,371,E. S. G. E. S.. S. A. DE C. V.,CAMPECHE,CHAMPOTÓN,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA CHAMPOTON - CAMPECHE NÚM 29 ,COLONIA PARAISO,24400,
2044,3/31/23,PL/4409/EXP/ES/2015,2309,COMBURED. S. A. DE C. V.,SAN LUIS POTOSI,VILLA HIDALGO,10,2,0,0,0,0.00,0.00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA MEXICO-PIEDRAS NEGRAS KM.473-860,SIN COLONIA,78960,
2045,3/31/23,PL/3504/EXP/ES/2015,11340,EUROPITS. S. A. DE C. V.,SAN LUIS POTOSI,SOLEDAD DE GRACIANO SÁNCHEZ,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA A MATEHUALA KM 28.5,S/C,78430,
2046,3/31/23,PL/20197/EXP/ES/2017,13409,CORPORATIVO GAESHA. S. A. DE C. V.,SAN LUIS POTOSI,SOLEDAD DE GRACIANO SÁNCHEZ,22,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA SAN LUIS POTOSÍ-MATEHUALA. TRAMO SAN LUIS POTOSÍ-”T” HUIZACHE. KM 23+660. LADO DERECHO,CÁNDIDO NAVARRO  ,78432,
2047,3/31/23,PL/3847/EXP/ES/2015,7249,COMERCIALIZADORA DE COMBUSTIBLES TAMAULIPECA. S. A. DE C. V.,TAMAULIPAS,EL MANTE,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA NACIONAL MEXICO LAREDO KM.555+150,EJIDO CAMOTERO,89870,
2048,3/31/23,PL/3843/EXP/ES/2015,1280,COMERCIALIZADORA DE COMBUSTIBLES TAMAULIPECA. S. A. DE C. V.,TAMAULIPAS,EL MANTE,28,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLVD. LUIS ENRIQUE A.NO. 1401 SUR,CENTRO,89800,
2049,3/31/23,PL/12076/EXP/ES/2015,9587,CABO FUELS MANTE PLATINUM. S. A. DE C. V.,TAMAULIPAS,EL MANTE,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA MANTE-VICTORIA KM. 104.5,EL LIMON,89910,
2050,4/1/23,PL/6134/EXP/ES/2015,917,FRANCISCO IGNACIO BECERRIL ZAVALA,PUEBLA,TEHUACÁN,18,4,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,FRANCISCO IGNACIO BECERRIL ZAVALA,INDEPENDENCIA,75780,
2051,4/1/23,PL/3891/EXP/ES/2015,9797,"AUTO SERVICIO NENETZINTLA, S. A. DE C. V.",PUEBLA,AMOZOC,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AUTO SERVICIO NENETZINTLA, S. A. DE C. V.",SIN COLONIA,72980,
2052,4/1/23,PL/6322/EXP/ES/2015,3378,"GASOLINERA DEL PACIFICO, S. A. DE C. V.",COLIMA,TECOMÁN,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GASOLINERA DEL PACIFICO, S. A. DE C. V.",CENTRO,28100,
2053,4/1/23,PL/9628/EXP/ES/2015,4246,"GASOLINERA TECOMAN, S. A. DE C. V.",COLIMA,TECOMÁN,24,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GASOLINERA TECOMAN, S. A. DE C. V.",TEPEYAC,28110,
2054,4/1/23,PL/9627/EXP/ES/2015,6081,"GASOLINERA TECOMAN, S. A. DE C. V.",COLIMA,TECOMÁN,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GASOLINERA TECOMAN, S. A. DE C. V.",UNION,28130,
2055,4/2/23,PL/11315/EXP/ES/2015,6985,"GASOLINERIA PACIFICO, S. A. DE C. V.",COLIMA,MANZANILLO,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GASOLINERIA PACIFICO, S. A. DE C. V.",TAPEIXTLES,28876,
2056,4/2/23,PL/6006/EXP/ES/2015,12797,"AUTOSERVICIO MANZANILLO PUERTO, S. A. DE C. V.",COLIMA,MANZANILLO,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AUTOSERVICIO MANZANILLO PUERTO, S. A. DE C. V.",DEL PACIFICO ,28210,
2057,4/2/23,PL/714/EXP/ES/2015,6408,"COMBU-EXPRESS, S. A. DE C. V.",COLIMA,MANZANILLO,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"COMBU-EXPRESS, S. A. DE C. V.",VALLE DE LAS GARZAS,28219,
2058,4/1/23,PL/409/EXP/ES/2015,12187,"MULTISERVICIOS LA PILARICA, S. A. DE C. V.",SINALOA,AHOME,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MULTISERVICIOS LA PILARICA, S. A. DE C. V.",FRACC. ÁLAMOS I,81285,
2059,4/1/23,PL/8735/EXP/ES/2015,4124,"AUTO SERVICIO LA PIEDRERA, S. A. DE C. V.",SINALOA,AHOME,22,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AUTO SERVICIO LA PIEDRERA, S. A. DE C. V.",INSURGENTES,81280,
